x-axis,1,2,3
second,Volt,Volt,Volt
+31.900E-03,+1.718750E+00,+2.268750E+00,+2.018750E+00
+32.000E-03,+1.562500E+00,+1.893750E+00,+1.612500E+00
+32.100E-03,+1.500000E+00,+1.550000E+00,+1.362500E+00
+32.200E-03,+1.593750E+00,+1.331250E+00,+1.206250E+00
+32.300E-03,+1.750000E+00,+1.206250E+00,+1.206250E+00
+32.400E-03,+2.031250E+00,+1.300000E+00,+1.362500E+00
+32.500E-03,+2.343750E+00,+1.487500E+00,+1.706250E+00
+32.600E-03,+2.656250E+00,+1.831250E+00,+2.081250E+00
+32.700E-03,+2.968750E+00,+2.237500E+00,+2.518750E+00
+32.800E-03,+3.187500E+00,+2.737500E+00,+3.018750E+00
+32.900E-03,+3.312500E+00,+3.143750E+00,+3.393750E+00
+33.000E-03,+3.312500E+00,+3.425000E+00,+3.643750E+00
+33.100E-03,+3.187500E+00,+3.675000E+00,+3.706250E+00
+33.200E-03,+2.937500E+00,+3.675000E+00,+3.643750E+00
+33.300E-03,+2.625000E+00,+3.550000E+00,+3.393750E+00
+33.400E-03,+2.281250E+00,+3.206250E+00,+3.018750E+00
+33.500E-03,+1.937500E+00,+2.800000E+00,+2.581250E+00
+33.600E-03,+1.687500E+00,+2.362500E+00,+2.081250E+00
+33.700E-03,+1.500000E+00,+1.893750E+00,+1.643750E+00
+33.800E-03,+1.531250E+00,+1.487500E+00,+1.268750E+00
+33.900E-03,+1.625000E+00,+1.237500E+00,+1.175000E+00
+34.000E-03,+1.875000E+00,+1.175000E+00,+1.237500E+00
+34.100E-03,+2.218750E+00,+1.300000E+00,+1.425000E+00
+34.200E-03,+2.562500E+00,+1.581250E+00,+1.831250E+00
+34.300E-03,+2.875000E+00,+2.018750E+00,+2.268750E+00
+34.400E-03,+3.187500E+00,+2.487500E+00,+2.768750E+00
+34.500E-03,+3.375000E+00,+2.987500E+00,+3.268750E+00
+34.600E-03,+3.312500E+00,+3.393750E+00,+3.581250E+00
+34.700E-03,+3.187500E+00,+3.643750E+00,+3.768750E+00
+34.800E-03,+2.906250E+00,+3.706250E+00,+3.706250E+00
+34.900E-03,+2.531250E+00,+3.581250E+00,+3.456250E+00
+35.000E-03,+2.187500E+00,+3.237500E+00,+3.018750E+00
+35.100E-03,+1.812500E+00,+2.831250E+00,+2.487500E+00
+35.200E-03,+1.562500E+00,+2.300000E+00,+1.987500E+00
+35.300E-03,+1.500000E+00,+1.768750E+00,+1.487500E+00
+35.400E-03,+1.531250E+00,+1.425000E+00,+1.175000E+00
+35.500E-03,+1.781250E+00,+1.175000E+00,+1.112500E+00
+35.600E-03,+2.093750E+00,+1.175000E+00,+1.268750E+00
+35.700E-03,+2.468750E+00,+1.362500E+00,+1.581250E+00
+35.800E-03,+2.843750E+00,+1.831250E+00,+2.081250E+00
+35.900E-03,+3.156250E+00,+2.268750E+00,+2.612500E+00
+36.000E-03,+3.312500E+00,+2.831250E+00,+3.175000E+00
+36.100E-03,+3.250000E+00,+3.300000E+00,+3.581250E+00
+36.200E-03,+3.156250E+00,+3.643750E+00,+3.768750E+00
+36.300E-03,+2.843750E+00,+3.737500E+00,+3.706250E+00
+36.400E-03,+2.500000E+00,+3.612500E+00,+3.518750E+00
+36.500E-03,+2.062500E+00,+3.268750E+00,+3.018750E+00
+36.600E-03,+1.718750E+00,+2.768750E+00,+2.456250E+00
+36.700E-03,+1.531250E+00,+2.206250E+00,+1.893750E+00
+36.800E-03,+1.500000E+00,+1.706250E+00,+1.456250E+00
+36.900E-03,+1.625000E+00,+1.331250E+00,+1.175000E+00
+37.000E-03,+1.937500E+00,+1.143750E+00,+1.175000E+00
+37.100E-03,+2.343750E+00,+1.206250E+00,+1.331250E+00
+37.200E-03,+2.750000E+00,+1.518750E+00,+1.768750E+00
+37.300E-03,+3.093750E+00,+2.018750E+00,+2.331250E+00
+37.400E-03,+3.281250E+00,+2.612500E+00,+2.925000E+00
+37.500E-03,+3.343750E+00,+3.112500E+00,+3.425000E+00
+37.600E-03,+3.218750E+00,+3.550000E+00,+3.737500E+00
+37.700E-03,+2.875000E+00,+3.737500E+00,+3.800000E+00
+37.800E-03,+2.500000E+00,+3.675000E+00,+3.550000E+00
+37.900E-03,+2.031250E+00,+3.331250E+00,+3.081250E+00
+38.000E-03,+1.718750E+00,+2.893750E+00,+2.550000E+00
+38.100E-03,+1.531250E+00,+2.300000E+00,+1.925000E+00
+38.200E-03,+1.500000E+00,+1.706250E+00,+1.456250E+00
+38.300E-03,+1.718750E+00,+1.300000E+00,+1.175000E+00
+38.400E-03,+2.031250E+00,+1.143750E+00,+1.112500E+00
+38.500E-03,+2.468750E+00,+1.268750E+00,+1.393750E+00
+38.600E-03,+2.875000E+00,+1.612500E+00,+1.893750E+00
+38.700E-03,+3.187500E+00,+2.112500E+00,+2.487500E+00
+38.800E-03,+3.312500E+00,+2.737500E+00,+3.112500E+00
+38.900E-03,+3.281250E+00,+3.268750E+00,+3.550000E+00
+39.000E-03,+3.031250E+00,+3.643750E+00,+3.800000E+00
+39.100E-03,+2.625000E+00,+3.737500E+00,+3.737500E+00
+39.200E-03,+2.156250E+00,+3.581250E+00,+3.362500E+00
+39.300E-03,+1.843750E+00,+3.143750E+00,+2.862500E+00
+39.400E-03,+1.531250E+00,+2.581250E+00,+2.237500E+00
+39.500E-03,+1.531250E+00,+1.956250E+00,+1.612500E+00
+39.600E-03,+1.687500E+00,+1.456250E+00,+1.237500E+00
+39.700E-03,+2.031250E+00,+1.175000E+00,+1.081250E+00
+39.800E-03,+2.468750E+00,+1.237500E+00,+1.331250E+00
+39.900E-03,+2.843750E+00,+1.456250E+00,+1.737500E+00
+40.000E-03,+3.218750E+00,+2.018750E+00,+2.362500E+00
+40.100E-03,+3.343750E+00,+2.612500E+00,+2.956250E+00
+40.200E-03,+3.218750E+00,+3.175000E+00,+3.487500E+00
+40.300E-03,+3.000000E+00,+3.612500E+00,+3.768750E+00
+40.400E-03,+2.531250E+00,+3.706250E+00,+3.737500E+00
+40.500E-03,+2.093750E+00,+3.550000E+00,+3.362500E+00
+40.600E-03,+1.750000E+00,+3.112500E+00,+2.800000E+00
+40.700E-03,+1.531250E+00,+2.550000E+00,+2.143750E+00
+40.800E-03,+1.500000E+00,+1.893750E+00,+1.581250E+00
+40.900E-03,+1.750000E+00,+1.393750E+00,+1.206250E+00
+41.000E-03,+2.156250E+00,+1.206250E+00,+1.175000E+00
+41.100E-03,+2.625000E+00,+1.268750E+00,+1.393750E+00
+41.200E-03,+3.031250E+00,+1.612500E+00,+1.893750E+00
+41.300E-03,+3.281250E+00,+2.175000E+00,+2.550000E+00
+41.400E-03,+3.312500E+00,+2.800000E+00,+3.175000E+00
+41.500E-03,+3.156250E+00,+3.331250E+00,+3.612500E+00
